sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
AVTNPL,₹ 1421.57 Cr.,₹ 1422.68 Cr.,15.23 Cr.,18.55,3.33,₹ 1,1.07%,₹ 6.39 Cr.,₹ 7.5 Cr.,75%,15.19%,20.12%,26.25%,,,,,,,
NELCO,₹ 1410.41 Cr.,₹ 1422.68 Cr.,2.28 Cr.,79.91,15.12,₹ 10,0.29%,₹ 5.23 Cr.,₹ 17.5 Cr.,50.09%,9.18%,12.67%,16.17%,,,,,,,
TNPL,₹ 1558.97 Cr.,₹ 3768.1 Cr.,6.92 Cr.,5.07,0.84,₹ 10,1.78%,₹ 13.5 Cr.,₹ 2222.63 Cr.,35.32%,45.23%,0.90%,4.40%,,,,,,,
HMT,₹ 3419.62 Cr.,₹ 4040.7 Cr.,120.41 Cr.,70.73,2.63,₹ 10,0%,₹ 57.39 Cr.,₹ 678.47 Cr.,93.69%,-46.40%,9.43%,4.33%,,,,,,,
VALIANTORG,₹ 1149.81 Cr.,₹ 1431.65 Cr.,2.72 Cr.,15.02,1.79,₹ 10,0.83%,₹ 23.3 Cr.,₹ 305.14 Cr.,38.41%,65.17%,18.64%,18.38%,,,,,,,
ISMTLTD,₹ 2096 Cr.,₹ 2247.87 Cr.,30.05 Cr.,0.8,1.59,₹ 5,0%,₹ 49.88 Cr.,₹ 201.75 Cr.,74.95%,74.34%,0%,262.75%,,,,,,,
LSIL,₹ 1893.36 Cr.,₹ 1887.95 Cr.,98.87 Cr.,59.81,10.14,₹ 1,0.26%,₹ 24.59 Cr.,₹ 19.19 Cr.,57.65%,-28.49%,5.11%,9.77%,,,,,,,
IGPL,₹ 1363.6 Cr.,₹ 1392.59 Cr.,3.08 Cr.,5.78,1.14,₹ 10,2.27%,₹ 107.7 Cr.,₹ 136.69 Cr.,68.74%,67.56%,28.39%,34.65%,,,,,,,
LUMAXIND,₹ 1609.21 Cr.,₹ 1957.51 Cr.,0.93 Cr.,18.35,3.43,₹ 10,0.78%,₹ 15.7 Cr.,₹ 363.99 Cr.,75%,22.81%,8.64%,9.14%,,,,,,,
KPIGREEN,₹ 1629.64 Cr.,₹ 1855.62 Cr.,3.61 Cr.,19.9,6.82,₹ 10,0.11%,₹ 18.69 Cr.,₹ 244.66 Cr.,54.81%,111.61%,33.31%,26.08%,,,,,,,
KSL,₹ 1383.37 Cr.,₹ 748.66 Cr.,4.37 Cr.,8.35,0.97,₹ 5,3.17%,₹ 974.22 Cr.,₹ 339.52 Cr.,64.70%,43.61%,19.27%,22.38%,,,,,,,
GTPL,₹ 1333.81 Cr.,₹ 1361.5 Cr.,11.25 Cr.,11.79,1.52,₹ 10,3.38%,₹ 61.93 Cr.,₹ 89.62 Cr.,75%,-12.78%,17.17%,21.25%,,,,,,,
KINGFA,₹ 1598.4 Cr.,₹ 1609.94 Cr.,1.21 Cr.,32.76,3.72,₹ 10,0%,₹ 29.42 Cr.,₹ 40.96 Cr.,74.99%,67.04%,8.30%,11.02%,,,,,,,
