sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
SOLARINDS,₹ 36447.13 Cr.,₹ 36576.54 Cr.,9.05 Cr.,93.53,22.64,₹ 2,0.19%,₹ 25.24 Cr.,₹ 154.65 Cr.,73.15%,59.58%,20.74%,25.83%,,,,,,,
ASTRAL,₹ 38549.12 Cr.,₹ 38139.62 Cr.,20.15 Cr.,106.93,15.38,₹ 1,0.16%,₹ 438.1 Cr.,₹ 28.6 Cr.,55.85%,38.49%,22.20%,29.98%,,,,,,,
TATAELXSI,₹ 41494.17 Cr.,₹ 40528.96 Cr.,6.23 Cr.,58.14,21.99,₹ 10,0.64%,₹ 965.21 Cr.,₹ 0 Cr.,43.92%,35.30%,37.23%,51.20%,,,,,,,
LTTS,₹ 39011.33 Cr.,₹ 38394.63 Cr.,10.56 Cr.,36.79,8.64,₹ 2,0.94%,₹ 616.7 Cr.,₹ 0 Cr.,73.85%,18.33%,25.26%,35.24%,,,,,,,
POLYCAB,₹ 45141.22 Cr.,₹ 44827.24 Cr.,14.97 Cr.,38.95,7.33,₹ 10,0.46%,₹ 390.52 Cr.,₹ 76.54 Cr.,66.61%,38.48%,18.33%,24.21%,,,,,,,
CUMMINSIND,₹ 44870.36 Cr.,₹ 43836.93 Cr.,27.72 Cr.,44.85,8.35,₹ 2,1.14%,₹ 1426.74 Cr.,₹ 393.31 Cr.,51%,41.84%,19.15%,24.22%,,,,,,,
BANDHANBNK,₹ 37854.63 Cr.,,161.08 Cr.,11.51,2.02,₹ 10,0%,,,39.99%,,0.72%,2.70%,41.61,₹ 8714.02 Cr.,30.54,20.1,,,
UCOBANK,₹ 31264.83 Cr.,,1195.6 Cr.,19.62,1.39,₹ 10,0%,,,95.39%,,4.87%,5.75%,39.42,₹ 6472.95 Cr.,49.89,13.74,,,
MRF,₹ 37635.78 Cr.,₹ 39516.14 Cr.,0.42 Cr.,66.93,2.66,₹ 10,0.17%,₹ 114.85 Cr.,₹ 1995.21 Cr.,27.87%,19.27%,4.80%,7.54%,,,,,,,
PFC,₹ 39205.21 Cr.,,264.01 Cr.,3.66,0.6,₹ 10,8.11%,,,55.99%,2.12,17.94%,9.23%,,,,,₹ 360929.74 Cr.,₹ 38545.4 Cr.,₹ 10021.9 Cr.
SHRIRAMFIN,₹ 46208.07 Cr.,,37.44 Cr.,9.44,1.55,₹ 10,1.62%,,,25.29%,10.61,11.40%,9.94%,,,,,₹ 116665.15 Cr.,₹ 19270.3 Cr.,₹ 2707.93 Cr.
MPHASIS,₹ 42133.51 Cr.,₹ 41953 Cr.,18.84 Cr.,31.21,9.29,₹ 10,2.06%,₹ 532.52 Cr.,₹ 352 Cr.,55.65%,32.88%,28.77%,36.11%,,,,,,,
HONAUT,₹ 32931.8 Cr.,₹ 30925.58 Cr.,0.88 Cr.,82.61,10.7,₹ 10,0.24%,₹ 2006.22 Cr.,₹ 0 Cr.,75%,-3.10%,12.56%,17.22%,,,,,,,
IDFCFIRSTB,₹ 34873.84 Cr.,,623.86 Cr.,17.64,1.54,₹ 10,0%,,,36.38%,,0.75%,4.87%,48.44,₹ 9706.16 Cr.,74.6,16.74,,,
TATACOMM,₹ 35347.13 Cr.,₹ 35784.59 Cr.,28.5 Cr.,30.46,3.53,₹ 10,1.66%,₹ 100.74 Cr.,₹ 538.2 Cr.,58.86%,5.82%,12.37%,16.10%,,,,,,,
ABCAPITAL,₹ 34796.98 Cr.,,241.73 Cr.,263.69,3.49,₹ 10,0%,,,71.05%,320.68,3.61%,4.31%,,,,,₹ 0 Cr.,₹ 453.87 Cr.,₹ 344.69 Cr.
BANKINDIA,₹ 31002.44 Cr.,,410.36 Cr.,9.46,0.61,₹ 10,2.65%,,,81.41%,,7.77%,8.53%,40.08,₹ 14062.1 Cr.,54.48,17.04,,,
NMDC,₹ 35518.94 Cr.,₹ 31062.12 Cr.,293.06 Cr.,7.01,1.68,₹ 1,12.16%,₹ 7940.17 Cr.,₹ 3483.35 Cr.,60.79%,68.39%,29.10%,37.16%,,,,,,,
ALKEM,₹ 39001.51 Cr.,₹ 38949.82 Cr.,11.96 Cr.,40.77,4.07,₹ 2,1.04%,₹ 2297.21 Cr.,₹ 2245.52 Cr.,57.16%,22.30%,18.83%,17.96%,,,,,,,
INDIANB,₹ 35949.66 Cr.,,124.54 Cr.,7.46,0.87,₹ 10,2.25%,,,79.86%,,11.25%,7.09%,41.77,₹ 16727.95 Cr.,46.21,16.53,,,
DALBHARAT,₹ 36466.81 Cr.,₹ 36460.81 Cr.,18.75 Cr.,181.43,4.67,₹ 2,0.46%,₹ 6 Cr.,₹ 0 Cr.,55.86%,-8.78%,2.37%,2.54%,,,,,,,
PAYTM,₹ 39727.72 Cr.,₹ 34892.32 Cr.,63.38 Cr.,0,3.32,₹ 1,0%,₹ 4835.4 Cr.,₹ 0 Cr.,0%,0,,,,,,,,,
FLUOROCHEM,₹ 33113.73 Cr.,₹ 34504.47 Cr.,10.99 Cr.,27.15,6.38,₹ 1,0.13%,₹ 142.12 Cr.,₹ 1532.86 Cr.,63.81%,51.10%,20.15%,20.59%,,,,,,,
SAIL,₹ 35584.48 Cr.,₹ 52220.75 Cr.,413.05 Cr.,10.87,0.68,₹ 10,10.15%,₹ 647.83 Cr.,₹ 17284.1 Cr.,65%,49.72%,25.16%,23.57%,,,,,,,
GODREJPROP,₹ 32363.03 Cr.,₹ 36206.47 Cr.,27.8 Cr.,50.24,3.34,₹ 5,0%,₹ 1276.24 Cr.,₹ 5119.68 Cr.,58.48%,158.31%,5.83%,6.76%,,,,,,,
JUBLFOOD,₹ 30151.63 Cr.,₹ 29611.64 Cr.,65.98 Cr.,70.98,13.18,₹ 2,0.05%,₹ 539.99 Cr.,₹ 0 Cr.,41.94%,32.50%,24.42%,41.94%,,,,,,,
GUJGASLTD,₹ 33404.13 Cr.,₹ 33864.09 Cr.,68.84 Cr.,20.87,5.05,₹ 2,0.41%,₹ 21.11 Cr.,₹ 481.07 Cr.,60.89%,66.79%,25.59%,31.42%,,,,,,,
LUPIN,₹ 30490.13 Cr.,₹ 31216.04 Cr.,45.49 Cr.,112.8,1.67,₹ 2,0.60%,₹ 64.56 Cr.,₹ 790.47 Cr.,47.10%,6.47%,-1.04%,-0.47%,,,,,,,
HINDPETRO,₹ 33201.12 Cr.,₹ 76263.07 Cr.,141.85 Cr.,0,1.37,₹ 10,5.98%,₹ 130.96 Cr.,₹ 43192.91 Cr.,54.90%,50.08%,17.05%,11.61%,,,,,,,
STARHEALTH,₹ 29576.07 Cr.,₹ 29012.53 Cr.,58.1 Cr.,68.03,4.52,₹ 10,0%,₹ 563.54 Cr.,₹ 0 Cr.,58.28%,0,,,,,,,,,
MANYAVAR,₹ 30160.33 Cr.,₹ 30157.01 Cr.,24.28 Cr.,74.8,23.54,₹ 1,0.41%,₹ 3.33 Cr.,₹ 0 Cr.,84.89%,0,,,,,,,,,
PETRONET,₹ 32790 Cr.,₹ 28493.45 Cr.,150 Cr.,9.71,2.13,₹ 10,5.27%,₹ 4319.55 Cr.,₹ 23 Cr.,50%,65.89%,26.74%,38.08%,,,,,,,
OBEROIRLTY,₹ 31307.97 Cr.,₹ 32825.01 Cr.,36.36 Cr.,51.99,4.17,₹ 10,0.35%,₹ 198.79 Cr.,₹ 1715.83 Cr.,67.70%,19.16%,5.55%,6.49%,,,,,,,
BIOCON,₹ 27913.95 Cr.,₹ 27300.55 Cr.,120.06 Cr.,25.95,3.08,₹ 5,0.22%,₹ 689.3 Cr.,₹ 75.9 Cr.,60.64%,-14.31%,1.09%,1.74%,,,,,,,
GICRE,₹ 26237.05 Cr.,₹ 5153.93 Cr.,175.44 Cr.,4.73,0.9,₹ 5,1.51%,₹ 21083.12 Cr.,₹ 0 Cr.,85.78%,131.83,7.99%,14.19%,,,,,,,
SUPREMEIND,₹ 34887.93 Cr.,₹ 34362.86 Cr.,12.7 Cr.,49.26,9.66,₹ 2,0.87%,₹ 525.07 Cr.,₹ 0 Cr.,48.85%,22.31%,25.95%,34.53%,,,,,,,
RECLTD,₹ 30440.07 Cr.,,263.32 Cr.,2.94,0.54,₹ 10,9.93%,,,52.63%,10.62,21.54%,9.11%,,,,,₹ 371930.54 Cr.,₹ 39145.27 Cr.,₹ 10045.92 Cr.
APLAPOLLO,₹ 35717.44 Cr.,₹ 35882.15 Cr.,27.73 Cr.,84,14.82,₹ 2,0.27%,₹ 223.29 Cr.,₹ 388 Cr.,31.15%,50.84%,18.01%,20.75%,,,,,,,
UNOMINDA,₹ 29432.45 Cr.,₹ 29708.28 Cr.,57.3 Cr.,72.22,9.74,₹ 2,0.15%,₹ 62.83 Cr.,₹ 338.66 Cr.,70.07%,34.02%,9.17%,11.20%,,,,,,,
PERSISTENT,₹ 37527.35 Cr.,₹ 36867.74 Cr.,7.64 Cr.,51.6,9.86,₹ 10,0.63%,₹ 660.17 Cr.,₹ 0.56 Cr.,31.26%,44.20%,23.16%,30.20%,,,,,,,
FEDERALBNK,₹ 26888.7 Cr.,,211.56 Cr.,10.15,1.31,₹ 2,1.42%,,,0%,,10.83%,9.77%,37.13,₹ 5961.95 Cr.,53.32,15.77,,,
LINDEINDIA,₹ 31838.31 Cr.,₹ 30850.33 Cr.,8.53 Cr.,72.85,10.56,₹ 10,0.36%,₹ 987.97 Cr.,₹ 0 Cr.,75%,43.56%,21%,29.19%,,,,,,,
IGL,₹ 30257.53 Cr.,₹ 28895.89 Cr.,70 Cr.,20.49,3.95,₹ 2,1.27%,₹ 1361.64 Cr.,₹ 0 Cr.,45%,56.05%,20.53%,27.96%,,,,,,,
ESCORTS,₹ 27578.23 Cr.,₹ 27319.77 Cr.,13.19 Cr.,44.22,3.35,₹ 10,0.34%,₹ 258.46 Cr.,₹ 0 Cr.,72.90%,3.22%,11.57%,15.59%,,,,,,,
CENTRALBK,₹ 23481.94 Cr.,,868.09 Cr.,17.77,0.95,₹ 10,0%,,,93.08%,,5.01%,6.52%,50.63,₹ 9486.76 Cr.,58.27,13.84,,,
BHEL,₹ 25210.14 Cr.,₹ 22801.45 Cr.,348.21 Cr.,33.24,0.94,₹ 2,0.55%,₹ 7153.69 Cr.,₹ 4745 Cr.,63.17%,22.55%,1.53%,2.80%,,,,,,,
ABFRL,₹ 24884.85 Cr.,₹ 25984.3 Cr.,94.87 Cr.,80.2,6.36,₹ 10,0%,₹ 107.92 Cr.,₹ 1207.37 Cr.,55.47%,51.01%,-2.96%,6.66%,,,,,,,
DEEPAKNTR,₹ 24608.71 Cr.,₹ 24613.66 Cr.,13.64 Cr.,48.11,9.73,₹ 2,0.39%,₹ 9.04 Cr.,₹ 13.99 Cr.,45.72%,38.80%,23.71%,31.34%,,,,,,,
VOLTAS,₹ 28293.95 Cr.,₹ 27969.85 Cr.,33.09 Cr.,19.31,4.17,₹ 1,0.64%,₹ 463.89 Cr.,₹ 139.79 Cr.,30.30%,11.30%,11.06%,14.40%,,,,,,,
OFSS,₹ 27918.32 Cr.,₹ 24511.97 Cr.,8.64 Cr.,15.78,5.15,₹ 5,5.88%,₹ 3406.35 Cr.,₹ 0 Cr.,72.99%,6.88%,32.51%,41.57%,,,,,,,
COROMANDEL,₹ 26637.28 Cr.,₹ 24932.4 Cr.,29.4 Cr.,13.61,3.37,₹ 1,1.33%,₹ 1704.92 Cr.,₹ 0.04 Cr.,57.41%,34.84%,24.59%,34.87%,,,,,,,
GLAND,₹ 21525.01 Cr.,₹ 18443.14 Cr.,16.47 Cr.,21.91,2.73,₹ 1,0%,₹ 3085.8 Cr.,₹ 3.93 Cr.,57.86%,27.08%,18.62%,24.86%,,,,,,,
MSUMI,₹ 22459.23 Cr.,₹ 22185.23 Cr.,442.11 Cr.,56.86,16.94,₹ 1,1.20%,₹ 293.3 Cr.,₹ 19.3 Cr.,61.73%,0,,,,,,,,,
AUROPHARMA,₹ 27732.47 Cr.,₹ 29500.31 Cr.,58.59 Cr.,19.98,1.59,₹ 1,1.90%,₹ 50.78 Cr.,₹ 1818.62 Cr.,51.83%,-28.67%,8.81%,8.52%,,,,,,,
SUNDARMFIN,₹ 26145.52 Cr.,,11.11 Cr.,24.42,3.46,₹ 10,0.85%,,,38.49%,-2.12,13.82%,8.44%,,,,,₹ 28033.37 Cr.,₹ 3870.04 Cr.,₹ 903.41 Cr.
PHOENIXLTD,₹ 23215.98 Cr.,₹ 23870.93 Cr.,17.86 Cr.,94.09,4.89,₹ 2,0.18%,₹ 212.36 Cr.,₹ 867.32 Cr.,47.31%,19.28%,8.41%,8.83%,,,,,,,
IDEA,₹ 35292.77 Cr.,₹ 222988.47 Cr.,4867.97 Cr.,0,0,₹ 10,0%,₹ 3378.2 Cr.,₹ 191073.9 Cr.,74.99%,-8.28%,0%,-5.31%,,,,,,,
3MINDIA,₹ 24982.6 Cr.,₹ 23776.06 Cr.,1.13 Cr.,62.7,8.98,₹ 10,0%,₹ 1206.54 Cr.,₹ 0 Cr.,75%,27.18%,11.30%,15.43%,,,,,,,
SONACOMS,₹ 27086.67 Cr.,₹ 27117.54 Cr.,58.54 Cr.,73.43,12.53,₹ 10,0.33%,₹ 39.46 Cr.,₹ 70.33 Cr.,53.53%,38.50%,21.28%,23.03%,,,,,,,
ATUL,₹ 21517.74 Cr.,₹ 21569.93 Cr.,2.95 Cr.,35.15,4.66,₹ 10,0.34%,₹ 20.75 Cr.,₹ 72.94 Cr.,45.06%,42.15%,15.14%,19.92%,,,,,,,
SUMICHEM,₹ 21360.94 Cr.,₹ 21282.29 Cr.,49.91 Cr.,42.24,9.26,₹ 10,0.23%,₹ 78.65 Cr.,₹ 0 Cr.,75%,15.93%,25.13%,34.40%,,,,,,,
AIAENG,₹ 26192.77 Cr.,₹ 25770.19 Cr.,9.43 Cr.,29.15,4.99,₹ 2,0.32%,₹ 422.58 Cr.,₹ 0 Cr.,58.47%,24.61%,13.45%,17.08%,,,,,,,
FACT,₹ 16027.97 Cr.,₹ 15956.73 Cr.,64.71 Cr.,23.54,25.17,₹ 10,0%,₹ 1876.47 Cr.,₹ 1805.22 Cr.,90%,35.78%,7531.71%,33.15%,,,,,,,
DELHIVERY,₹ 23907.58 Cr.,₹ 24050.56 Cr.,72.84 Cr.,0,2.5,₹ 1,0%,₹ 178.26 Cr.,₹ 321.24 Cr.,0%,0,,,,,,,,,
METROBRAND,₹ 22614.66 Cr.,₹ 22181.87 Cr.,27.17 Cr.,62.97,14.97,₹ 5,0.27%,₹ 432.78 Cr.,₹ 0 Cr.,74.21%,0,,,,,,,,,
GMRINFRA,₹ 23902.34 Cr.,₹ 24646.84 Cr.,603.59 Cr.,0,2.45,₹ 1,0%,₹ 15.37 Cr.,₹ 759.87 Cr.,58.90%,432.88%,-1.58%,-0.17%,,,,,,,
TATACHEM,₹ 25955.84 Cr.,₹ 25462.9 Cr.,25.48 Cr.,23.99,1.62,₹ 10,1.22%,₹ 492.94 Cr.,₹ 0 Cr.,37.98%,24.08%,5.50%,7.04%,,,,,,,
COFORGE,₹ 25677.06 Cr.,₹ 25951.36 Cr.,6.11 Cr.,38.23,10.08,₹ 10,1.24%,₹ 62.4 Cr.,₹ 336.7 Cr.,39.99%,37.34%,33.04%,34.18%,,,,,,,
KANSAINER,₹ 22346.31 Cr.,₹ 22265.66 Cr.,53.89 Cr.,53.59,4.95,₹ 1,0.54%,₹ 80.65 Cr.,₹ 0 Cr.,74.99%,24.69%,9.08%,12.48%,,,,,,,
TORNTPOWER,₹ 24355.26 Cr.,₹ 32014.25 Cr.,48.06 Cr.,21.31,2.09,₹ 10,1.78%,₹ 206.93 Cr.,₹ 7865.92 Cr.,53.57%,16.47%,4.05%,6.22%,,,,,,,
POONAWALLA,₹ 24057.34 Cr.,,76.54 Cr.,48.76,3.9,₹ 2,0.13%,,,62.05%,-16.9,7.69%,8.02%,,,,,₹ 10678.37 Cr.,₹ 1536.22 Cr.,₹ 293.2 Cr.
THERMAX,₹ 24387.12 Cr.,₹ 24125.55 Cr.,11.92 Cr.,87.64,7.89,₹ 2,0.44%,₹ 441.57 Cr.,₹ 180 Cr.,61.98%,28.23%,6.83%,8.69%,,,,,,,
MFSL,₹ 24834.46 Cr.,,34.51 Cr.,2260.05,3.67,₹ 2,0%,,,11.45%,-34.82,1.53%,2.20%,,,,,₹ 0 Cr.,₹ 199.7 Cr.,₹ 102.62 Cr.
TIMKEN,₹ 23738.28 Cr.,₹ 23749.87 Cr.,7.52 Cr.,58.24,12.28,₹ 10,0.05%,₹ 18.19 Cr.,₹ 29.78 Cr.,67.80%,56.20%,21.80%,28.77%,,,,,,,
DIXON,₹ 16297.45 Cr.,₹ 16426.78 Cr.,5.96 Cr.,89.61,15.36,₹ 2,0.07%,₹ 116.47 Cr.,₹ 245.8 Cr.,34.06%,31.89%,18.81%,23.55%,,,,,,,
ZEEL,₹ 20675.18 Cr.,₹ 20044.28 Cr.,96.05 Cr.,24.71,2.05,₹ 1,1.39%,₹ 634 Cr.,₹ 3.1 Cr.,3.99%,12.69%,14.41%,19.25%,,,,,,,
PSB,₹ 18469.47 Cr.,,677.78 Cr.,15.36,1.35,₹ 10,1.14%,,,98.25%,,10.12%,10.37%,33.81,₹ 2651.31 Cr.,63.16,18.54,,,
LICHSGFIN,₹ 20148.81 Cr.,,55.01 Cr.,7.12,0.78,₹ 2,2.32%,,,45.24%,0.36,10.12%,7.10%,,,,,₹ 245280.63 Cr.,₹ 19919.07 Cr.,₹ 2282.56 Cr.
RELAXO,₹ 19393.83 Cr.,₹ 19401.33 Cr.,24.89 Cr.,125.85,10.82,₹ 1,0.32%,₹ 12.5 Cr.,₹ 20 Cr.,71.02%,12.47%,14%,19.56%,,,,,,,
OIL,₹ 28281.29 Cr.,₹ 39260.21 Cr.,108.44 Cr.,4.25,0.85,₹ 10,5.46%,₹ 656.72 Cr.,₹ 11635.64 Cr.,56.66%,68.86%,13.86%,13.83%,,,,,,,
JKCEMENT,₹ 21949.59 Cr.,₹ 24894.39 Cr.,7.73 Cr.,44.9,4.83,₹ 10,0.53%,₹ 282.6 Cr.,₹ 3227.39 Cr.,45.83%,21.34%,15.80%,17.09%,,,,,,,
CRISIL,₹ 22948.69 Cr.,₹ 22843.75 Cr.,7.31 Cr.,60.37,23.3,₹ 1,1.47%,₹ 104.94 Cr.,₹ 0 Cr.,66.70%,18.47%,60.90%,66.91%,,,,,,,
GLAXO,₹ 21041.92 Cr.,₹ 18562.81 Cr.,16.94 Cr.,50.42,12.88,₹ 10,7.21%,₹ 2479.11 Cr.,₹ 0 Cr.,75%,10.17%,18.04%,37.15%,,,,,,,
SKFINDIA,₹ 22068.86 Cr.,₹ 21667.01 Cr.,4.94 Cr.,43.18,9.96,₹ 10,0.33%,₹ 401.85 Cr.,₹ 0 Cr.,52.58%,37.26%,22.91%,30.90%,,,,,,,
AARTIIND,₹ 19622.34 Cr.,₹ 21960.88 Cr.,36.25 Cr.,30.84,4.08,₹ 5,0.65%,₹ 223.73 Cr.,₹ 2562.27 Cr.,44.16%,59.04%,28.03%,22.09%,,,,,,,
DEVYANI,₹ 18490.13 Cr.,₹ 18510.35 Cr.,120.5 Cr.,67.81,16.95,₹ 1,0%,₹ 40.71 Cr.,₹ 60.93 Cr.,62.80%,85.56%,25.86%,26.93%,,,,,,,
RAJESHEXPO,₹ 22550.48 Cr.,₹ 22614.02 Cr.,29.53 Cr.,2905.1,4.39,₹ 1,0.13%,₹ 562.25 Cr.,₹ 625.79 Cr.,54.05%,202.70%,0.45%,2.02%,,,,,,,
FORTIS,₹ 20285.73 Cr.,₹ 20926.99 Cr.,75.5 Cr.,290.08,2.26,₹ 10,0%,₹ 1.07 Cr.,₹ 642.33 Cr.,31.17%,36.30%,-0.15%,1.26%,,,,,,,
CROMPTON,₹ 18938.04 Cr.,₹ 19589.51 Cr.,63.59 Cr.,36.03,7.02,₹ 2,0.84%,₹ 903.78 Cr.,₹ 1555.25 Cr.,0%,13.12%,29.14%,24.92%,,,,,,,
IPCALAB,₹ 21080.28 Cr.,₹ 21248.32 Cr.,25.37 Cr.,38.87,3.54,₹ 1,0.48%,₹ 592.97 Cr.,₹ 761.01 Cr.,46.29%,4.94%,16.95%,19.52%,,,,,,,
BATAINDIA,₹ 18508.61 Cr.,₹ 17543.79 Cr.,12.85 Cr.,58.51,13.54,₹ 5,3.78%,₹ 964.82 Cr.,₹ 0 Cr.,50.16%,39.85%,5.65%,13.22%,,,,,,,
NIACL,₹ 17139.2 Cr.,₹ 4651.36 Cr.,164.8 Cr.,48,0.9,₹ 5,0.29%,₹ 12487.84 Cr.,₹ 0 Cr.,85.44%,0,0.91%,0.89%,,,,,,,
APOLLOTYRE,₹ 21018.67 Cr.,₹ 24879.53 Cr.,63.51 Cr.,55.75,2.18,₹ 1,0.98%,₹ 525.43 Cr.,₹ 4386.29 Cr.,37.34%,24.85%,2.75%,5.31%,,,,,,,
MAHABANK,₹ 18105.04 Cr.,,673.05 Cr.,8.55,1.29,₹ 10,1.86%,,,90.97%,,9.90%,13.01%,57.85,₹ 6044.4 Cr.,44.26,16.48,,,
VINATIORGA,₹ 19310.69 Cr.,₹ 19324.81 Cr.,10.28 Cr.,43.52,9.18,₹ 1,0.35%,₹ 4.28 Cr.,₹ 18.4 Cr.,74.06%,69.30%,20.56%,26.59%,,,,,,,
SUNDRMFAST,₹ 20892.01 Cr.,₹ 21321.29 Cr.,21.01 Cr.,49.81,7.22,₹ 1,0.65%,₹ 31.76 Cr.,₹ 461.04 Cr.,48.51%,36.13%,16.70%,19.65%,,,,,,,
PFIZER,₹ 17660.45 Cr.,₹ 16029.62 Cr.,4.57 Cr.,28.48,5.76,₹ 10,0.90%,₹ 1633.33 Cr.,₹ 2.5 Cr.,63.92%,16.64%,23.30%,29.78%,,,,,,,
HATSUN,₹ 19795.64 Cr.,₹ 21464.24 Cr.,22.27 Cr.,112.61,13.93,₹ 1,0.66%,₹ 39.67 Cr.,₹ 1708.27 Cr.,73%,14.76%,23.31%,15.99%,,,,,,,
POLICYBZR,₹ 21821.64 Cr.,₹ 18579.08 Cr.,45.01 Cr.,0,3.06,₹ 2,0%,₹ 3242.57 Cr.,₹ 0 Cr.,0%,0,,,,,,,,,
LAURUSLABS,₹ 17724.31 Cr.,₹ 19303.41 Cr.,53.87 Cr.,20.16,4.45,₹ 2,0.61%,₹ 40.56 Cr.,₹ 1619.66 Cr.,27.20%,-1.29%,24.65%,23.52%,,,,,,,
NAVINFLUOR,₹ 20734.19 Cr.,₹ 20656.02 Cr.,4.96 Cr.,68.33,10.07,₹ 2,0.26%,₹ 78.17 Cr.,₹ 0 Cr.,29.40%,23.87%,15.18%,19.84%,,,,,,,
PEL,₹ 20726.75 Cr.,₹ 25495.46 Cr.,23.87 Cr.,6.51,0.87,₹ 2,3.81%,₹ 1078.42 Cr.,₹ 5847.13 Cr.,43.48%,21.98%,2.47%,4.77%,,,,,,,
GRINDWELL,₹ 21874.95 Cr.,₹ 21609.22 Cr.,11.07 Cr.,64.24,13.04,₹ 5,0.61%,₹ 267.88 Cr.,₹ 2.15 Cr.,58.03%,22.83%,20.59%,27.69%,,,,,,,
ENDURANCE,₹ 19091.47 Cr.,₹ 19020.02 Cr.,14.07 Cr.,45.55,5.92,₹ 10,0.46%,₹ 103.14 Cr.,₹ 31.7 Cr.,75%,19.36%,13.36%,17.88%,,,,,,,
KPITTECH,₹ 23469.45 Cr.,₹ 23023.89 Cr.,27.41 Cr.,80.32,17.35,₹ 10,0.36%,₹ 448.14 Cr.,₹ 2.58 Cr.,40.10%,47.10%,21.32%,25.29%,,,,,,,
SUNTV,₹ 17905.23 Cr.,₹ 16987.69 Cr.,39.41 Cr.,10.45,1.95,₹ 5,3.03%,₹ 917.54 Cr.,₹ 0 Cr.,75%,12.46%,21.93%,29.62%,,,,,,,
WHIRLPOOL,₹ 16324.6 Cr.,₹ 14795.73 Cr.,12.69 Cr.,78.19,5.35,₹ 10,0.39%,₹ 1528.87 Cr.,₹ 0 Cr.,75%,1.58%,7.84%,10.97%,,,,,,,
LALPATHLAB,₹ 16398.21 Cr.,₹ 16203.02 Cr.,8.34 Cr.,57.38,10.19,₹ 10,0.61%,₹ 540.61 Cr.,₹ 345.42 Cr.,55.05%,25.64%,26.50%,32.11%,,,,,,,
EMAMILTD,₹ 17290.87 Cr.,₹ 17447.85 Cr.,44.12 Cr.,20.86,6.78,₹ 1,2.04%,₹ 55.6 Cr.,₹ 212.58 Cr.,54.27%,11.02%,44.25%,33.75%,,,,,,,
PRESTIGE,₹ 17367.33 Cr.,₹ 19392.33 Cr.,40.09 Cr.,17.41,2.63,₹ 10,0.35%,₹ 550.4 Cr.,₹ 2575.4 Cr.,65.48%,12.46%,15.99%,16.70%,,,,,,,
KAJARIACER,₹ 17001.26 Cr.,₹ 16618.57 Cr.,15.92 Cr.,49.16,7.34,₹ 1,1.03%,₹ 422.65 Cr.,₹ 39.96 Cr.,47.49%,30.76%,18.23%,24.37%,,,,,,,
BLUEDART,₹ 14656.74 Cr.,₹ 14473.84 Cr.,2.37 Cr.,33.97,12.27,₹ 10,0.96%,₹ 182.9 Cr.,₹ 0 Cr.,75%,34.43%,46.08%,59.40%,,,,,,,
IIFL,₹ 17305.11 Cr.,,38.02 Cr.,22.56,3.47,₹ 2,0.77%,,,24.88%,15.74,18.14%,12.54%,,,,,₹ 0 Cr.,₹ 3676.87 Cr.,₹ 745.48 Cr.
TTML,₹ 12922.07 Cr.,₹ 32608.89 Cr.,195.49 Cr.,0,0,₹ 10,0%,₹ 17.02 Cr.,₹ 19703.84 Cr.,74.36%,4.80%,0%,35.84%,,,,,,,
FIVESTAR,₹ 16462.19 Cr.,,29.14 Cr.,36.3,2.86,₹ 1,0%,,,34.87%,0,,,,,,,₹ 0 Cr.,₹ 1254.06 Cr.,₹ 453.55 Cr.
KPRMILL,₹ 20512.26 Cr.,₹ 20829.71 Cr.,34.18 Cr.,28.64,6.99,₹ 1,0.03%,₹ 100.4 Cr.,₹ 417.85 Cr.,74.78%,37.92%,32.20%,37.65%,,,,,,,
FINEORG,₹ 14800.64 Cr.,₹ 14643.38 Cr.,3.07 Cr.,26.31,10.69,₹ 5,0.19%,₹ 215.8 Cr.,₹ 58.53 Cr.,75%,65.74%,29.54%,37.05%,,,,,,,
IRB,₹ 17437.61 Cr.,₹ 21371.65 Cr.,60.39 Cr.,28.11,1.98,₹ 10,0%,₹ 1492.53 Cr.,₹ 5426.57 Cr.,34.20%,-5.48%,5.64%,8.60%,,,,,,,
BDL,₹ 15994.95 Cr.,₹ 14099 Cr.,18.33 Cr.,34.49,5.01,₹ 10,0.95%,₹ 1899.53 Cr.,₹ 3.58 Cr.,74.93%,47.22%,17.62%,25.15%,,,,,,,
ZFCVINDIA,₹ 19411.33 Cr.,₹ 18742.23 Cr.,1.9 Cr.,71.09,8.4,₹ 5,0.12%,₹ 669.1 Cr.,₹ 0 Cr.,75%,36.48%,6.91%,9.62%,,,,,,,
CARBORUNIV,₹ 18630.06 Cr.,₹ 18774.83 Cr.,18.99 Cr.,66.82,9.71,₹ 1,0.36%,₹ 18.24 Cr.,₹ 163 Cr.,41.89%,32.47%,15.66%,20.18%,,,,,,,
RAMCOCEM,₹ 17331.07 Cr.,₹ 21084.98 Cr.,23.63 Cr.,54.98,2.61,₹ 1,0.41%,₹ 176.04 Cr.,₹ 3929.95 Cr.,42.30%,13.51%,14.72%,9.53%,,,,,,,
GILLETTE,₹ 15777.44 Cr.,₹ 15486.37 Cr.,3.26 Cr.,52.92,17.41,₹ 10,1.42%,₹ 291.07 Cr.,₹ 0 Cr.,75%,12.28%,35.54%,51.13%,,,,,,,
